,Email Address,Last Name,First Name,Section,Homework Score,Quiz Score,Exam 1 Score,Exam 2 Score,Exam 3 Score,Ceiling Score,Final Grade
bmb94857,belinda.bailey@univ.edu,Bailey,Belinda,3,0.8281865079365079,0.6231884057971014,0.83,0.95,0.87,79.0,C
nsb43944,nathan.bates@univ.edu,Bates,Nathan,3,0.843793650793651,0.6634886681945507,0.71,0.76,0.82,78.0,C
mxb67936,michael.benton@univ.edu,Benton,Michael,3,0.7703809523809524,0.6376811594202898,0.78,0.91,0.91,77.0,C
bxb28023,bradley.bryan@univ.edu,Bryan,Bradley,3,0.8527027027027027,0.7121263050674815,0.96,0.82,0.66,79.0,C
sxc85021,scott.cervantes@univ.edu,Cervantes,Scott,3,0.8481984126984129,0.6086956521739131,0.6,1.0,0.89,79.0,C
jgc21028,jill.clark@univ.edu,Clark,Jill,3,0.8243243243243243,0.6376811594202898,0.62,0.94,0.88,78.0,C
lxd16906,luke.davidson@univ.edu,Davidson,Luke,3,0.8297297297297297,0.6956521739130435,0.92,0.62,0.6,74.0,C
rxd55884,rachel.dennis@univ.edu,Dennis,Rachel,3,0.7874642857142857,0.558673287496817,0.72,0.98,0.86,75.0,C
axd67070,amy.dunn@univ.edu,Dunn,Amy,3,0.7864864864864864,0.6981207028265851,0.93,0.96,0.86,80.0,B
nxe44872,nicole.edwards@univ.edu,Edwards,Nicole,3,0.8411746031746032,0.7857957728545963,0.89,0.63,0.65,78.0,C
pxe53402,patricia.evans@univ.edu,Evans,Patricia,3,0.8006666666666667,0.6158492487904252,0.72,0.91,0.68,74.0,C
jgf12345,john.g.2.flower@univ.edu,Flower,Gregg,3,0.7702702702702703,0.6152864782276548,0.72,0.83,0.77,73.0,C
axf16145,ashlee.foster@univ.edu,Foster,Ashlee,3,0.8337837837837838,0.8695652173913043,0.73,0.61,0.74,81.0,B
llf55044,linda.friedman@univ.edu,Friedman,Linda,3,0.8095992063492063,0.6006977336389101,0.64,0.86,0.7,73.0,C
abg77872,april.greer@univ.edu,Greer,April,3,0.7472972972972973,0.830776674306086,0.74,0.71,0.94,80.0,B
dxj78877,dylan.johnson@univ.edu,Johnson,Dylan,3,0.7376666666666666,0.6521739130434783,0.72,0.64,0.99,74.0,C
pmj37756,paul.johnson@univ.edu,Johnson,Paul,3,0.7351351351351352,0.7981767252355487,0.84,0.8,0.94,80.0,B
rsj94156,robert.johnston@univ.edu,Johnston,Robert,3,0.7594594594594595,0.7101449275362319,0.98,0.61,0.74,74.0,C
sxj49423,sarah.jones@univ.edu,Jones,Sarah,3,0.7243243243243244,0.9420289855072463,0.89,0.68,0.94,83.0,B
dsl24347,danielle.lee@univ.edu,Lee,Danielle,3,0.822972972972973,0.6231884057971014,0.62,0.7,0.9,76.0,C
tgl37922,tammy.leon@univ.edu,Leon,Tammy,3,0.8094594594594594,0.6521739130434783,0.88,0.9,0.87,79.0,C
kxm62826,kimberly.mccall@univ.edu,Mccall,Kimberly,3,0.8378378378378378,0.7557422969187676,0.79,0.98,0.6,79.0,C
axm26865,anthony.miller@univ.edu,Miller,Anthony,3,0.8,0.7232442067736186,0.73,0.68,0.93,79.0,C
bxm17365,brett.miranda@univ.edu,Miranda,Brett,3,0.7983888888888889,0.7869467787114846,0.82,0.94,0.95,84.0,B
njp08545,nicole.patterson@univ.edu,Patterson,Nicole,3,0.8175675675675675,0.7681159420289855,0.96,0.91,0.95,84.0,B
jxp06435,jeffrey.perez@univ.edu,Perez,Jeffrey,3,0.7959459459459459,0.6376811594202898,0.67,0.81,0.95,77.0,C
mxp86000,melissa.poole@univ.edu,Poole,Melissa,3,0.8476111111111113,0.7246376811594203,0.88,0.97,0.83,83.0,B
rxp56459,ricardo.price@univ.edu,Price,Ricardo,3,0.8223730158730158,0.8359358288770053,0.68,0.92,0.75,82.0,B
txr84689,timothy.ramirez@univ.edu,Ramirez,Timothy,3,0.8477063492063494,0.5072463768115942,0.84,0.69,0.87,74.0,C
tbr17292,troy.raymond@univ.edu,Raymond,Troy,3,0.8418918918918918,0.5797101449275363,0.91,0.67,1.0,78.0,C
lcr30757,laura.reid@univ.edu,Reid,Laura,3,0.7089761904761904,0.6811594202898551,0.64,0.86,0.86,74.0,C
cxr98775,carol.reyes@univ.edu,Reyes,Carol,3,0.8224880952380953,0.6956521739130435,0.99,0.91,0.9,82.0,B
jxr10806,jason.reyes@univ.edu,Reyes,Jason,3,0.8024682539682539,0.6521739130434783,0.7,0.81,0.86,77.0,C
kpr82051,kimberly.rhodes@univ.edu,Rhodes,Kimberly,3,0.7635135135135135,0.8115942028985508,0.61,0.62,0.97,79.0,C
jsr21334,john.rodriguez@univ.edu,Rodriguez,John,3,0.7965515873015873,0.6956521739130435,0.92,0.68,0.89,78.0,C
sxs30610,stephanie.sampson@univ.edu,Sampson,Stephanie,3,0.833047619047619,0.6238349885408709,0.87,1.0,0.75,78.0,C
fxs77894,felicia.simpson@univ.edu,Simpson,Felicia,3,0.8351351351351352,0.7748459383753501,0.63,0.9,0.99,84.0,B
cjs43553,crystal.smith@univ.edu,Smith,Crystal,3,0.8551666666666667,0.6811594202898551,0.85,0.88,0.6,77.0,C
ajt73762,amy.terry@univ.edu,Terry,Amy,3,0.8337837837837838,0.5362318840579711,0.6,0.81,0.79,73.0,C
bxt62105,brandon.thomas@univ.edu,Thomas,Brandon,3,0.7635135135135135,0.6086956521739131,0.86,0.72,0.65,71.0,C
hxw92728,heather.webb@univ.edu,Webb,Heather,3,0.7013513513513514,0.6521739130434783,1.0,0.61,0.62,69.0,D
alw07647,amy.white@univ.edu,White,Amy,3,0.8378378378378378,0.7391304347826086,0.99,0.95,0.99,85.0,B
lkw48972,levi.wilkerson@univ.edu,Wilkerson,Levi,3,0.7256756756756757,0.867450980392157,0.71,0.96,0.93,83.0,B
