,Email Address,Last Name,First Name,Section,Homework Score,Quiz Score,Exam 1 Score,Exam 2 Score,Exam 3 Score,Ceiling Score,Final Grade
ara97741,amy.adams@univ.edu,Adams,Amy,1,0.741376984126984,0.7324318818436466,0.87,0.74,0.76,75.0,C
cxa22039,christina.allen@univ.edu,Allen,Christina,1,0.8324324324324325,0.8405797101449275,0.6,0.7,0.67,79.0,C
lxb98047,lucas.baldwin@univ.edu,Baldwin,Lucas,1,0.8567567567567568,0.7212503183091419,0.83,0.74,0.97,83.0,B
wxb12345,woody.barrera_jr@univ.edu,Barrera,Woody,1,0.8081081081081081,0.6086956521739131,0.86,0.62,0.9,75.0,C
jxb40799,john.bauer@univ.edu,Bauer,John,1,0.8432432432432433,0.5942028985507246,0.64,0.88,0.92,78.0,C
djb29817,david.beck@univ.edu,Beck,David,1,0.7377579365079365,0.5365087853323148,0.91,0.74,0.65,68.0,D
rjb91830,richard.bennett@univ.edu,Bennett,Richard,1,0.8297297297297297,0.6486529157117393,0.66,0.97,0.88,79.0,C
cxd92501,cameron.dennis@univ.edu,Dennis,Cameron,1,0.7869087301587301,0.463768115942029,0.88,0.66,0.68,67.0,D
eed42850,emily.dudley@univ.edu,Dudley,Emily,1,0.8054054054054054,0.5835981665393429,0.96,0.73,0.76,74.0,C
exd72538,erin.duffy@univ.edu,Duffy,Erin,1,0.7404365079365081,0.7264374840845429,0.85,0.92,0.88,79.0,C
rge65208,richard.elliott@univ.edu,Elliott,Richard,1,0.754054054054054,0.855072463768116,0.66,0.64,0.74,77.0,C
kxf45205,katelyn.faulkner@univ.edu,Faulkner,Katelyn,1,0.8081081081081081,0.7971014492753623,0.68,0.6,0.61,75.0,C
txf41578,tommy.foster@univ.edu,Foster,Tommy,1,0.7743243243243243,0.6588464476699771,0.78,0.88,0.65,74.0,C
jag55224,jessica.garza@univ.edu,Garza,Jessica,1,0.8120912698412699,0.7681159420289855,0.9,0.79,0.62,78.0,C
